City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
169,Kapustin Yar,RU,48.5831,45.7372,24.13,90,7,9.98,clear sky
170,Haines Junction,CA,60.7522,-137.5108,6.08,100,84,0.25,broken clouds
171,Talcahuano,CL,-36.7167,-73.1167,58.68,82,100,13.8,overcast clouds
172,Linfen,CN,36.0889,111.5189,27.23,48,0,1.54,clear sky
173,Bonthe,SL,7.5264,-12.505,84.87,60,67,13.8,broken clouds
174,Port Hedland,AU,-20.3167,118.5667,80.65,89,91,5.75,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,68.5,73,75,0.0,broken clouds
176,Villarrica,PY,-25.75,-56.4333,102.88,24,6,4.97,clear sky
177,San Cristobal,VE,7.7669,-72.225,69.98,38,81,6.38,broken clouds
178,Port Moresby,PG,-9.4431,147.1797,72.82,100,40,17.27,fog
179,Alexandria,EG,31.2156,29.9553,63.32,69,0,16.04,clear sky
180,North Bend,US,43.4065,-124.2243,37.85,100,20,8.05,few clouds
181,Kilifi,KE,-3.6305,39.8499,78.57,81,47,12.91,scattered clouds
182,Virginia Beach,US,36.8529,-75.978,65.05,80,75,13.8,broken clouds
183,Mount Gambier,AU,-37.8333,140.7667,56.37,64,91,8.95,overcast clouds
184,Hilo,US,19.7297,-155.09,74.28,80,0,8.05,clear sky
185,Buala,SB,-8.145,159.5921,80.22,79,92,7.96,overcast clouds
186,Nelson Bay,AU,-32.7167,152.15,64.99,97,89,8.99,overcast clouds
187,Shingu,JP,33.7333,135.9833,38.77,74,3,7.58,clear sky
188,Gisborne,NZ,-38.6533,178.0042,60.06,92,12,4.74,few clouds
189,Leningradskiy,RU,69.3833,178.4167,-21.15,96,100,11.12,overcast clouds
190,Spearfish,US,44.4908,-103.8594,33.82,73,0,10.36,clear sky
191,Korla,CN,41.7597,86.1469,7.47,81,5,0.67,clear sky
192,Pevek,RU,69.7008,170.3133,-20.92,95,100,16.62,overcast clouds
193,Verkhoyansk,RU,67.5447,133.385,-49.27,100,100,1.72,overcast clouds
194,Kangaatsiaq,GL,68.3065,-53.4641,-21.19,79,81,6.13,broken clouds
195,Luderitz,NA,-26.6481,15.1594,72.27,65,0,23.6,clear sky
