City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
76,Athens,GR,2023-01-14 01:31:51,37.9795,23.7162,50.38,79,20,6.91
77,Soe,ID,2023-01-14 01:31:51,-9.8607,124.284,78.39,62,100,3.49
78,Saskylakh,RU,2023-01-14 01:31:52,71.9167,114.0833,-57.01,100,92,2.08
79,Leningradskiy,RU,2023-01-14 01:31:52,69.3833,178.4167,-16.87,99,97,4.29
80,Bodden Town,KY,2023-01-14 01:31:53,19.2833,-81.25,78.8,70,20,6.91
81,Egvekinot,RU,2023-01-14 01:31:53,66.3167,-179.1667,-9.85,87,14,15.84
82,Urambo,TZ,2023-01-14 01:31:53,-5.0667,32.05,63.23,95,100,3.27
83,Oranjemund,NA,2023-01-14 01:31:54,-28.55,16.4333,60.91,94,3,7.49
84,Leshan,CN,2023-01-14 01:31:54,29.5623,103.7639,40.98,62,100,2.28
85,Salalah,OM,2023-01-14 01:31:55,17.0151,54.0924,75.29,73,75,5.75
86,Pisco,PE,2023-01-14 01:31:56,-13.7,-76.2167,69.85,78,0,14.97
87,Yelizovo,RU,2023-01-14 01:31:56,53.1873,158.3805,8.74,60,20,7.0
88,Constitucion,CL,2023-01-14 01:32:57,-35.3333,-72.4167,55.76,87,2,12.93
89,Gummidipundi,IN,2023-01-14 01:32:57,13.4,80.15,71.6,81,92,3.83
90,Bredasdorp,ZA,2023-01-14 01:30:46,-34.5322,20.0403,63.09,83,88,0.67
91,Narsaq,GL,2023-01-14 01:32:58,60.9167,-46.05,7.02,74,99,10.4
92,Katsuura,JP,2023-01-14 01:32:58,35.1333,140.3,62.62,91,100,26.73
93,Chuy,UY,2023-01-14 01:32:59,-33.6971,-53.4616,67.14,80,99,4.52
94,Jamestown,US,2023-01-14 01:32:59,42.097,-79.2353,26.19,75,100,10.36
95,Arraial Do Cabo,BR,2023-01-14 01:30:14,-22.9661,-42.0278,76.96,88,0,8.05
96,Sao Joao Da Barra,BR,2023-01-14 01:33:00,-21.6403,-41.0511,76.14,89,100,21.81
97,Biltine,TD,2023-01-14 01:33:00,14.5333,20.9167,63.12,20,1,8.43
98,Lima,PE,2023-01-14 01:32:47,-12.0432,-77.0282,71.91,75,0,12.66
99,Lompoc,US,2023-01-14 01:32:59,34.6391,-120.4579,61.02,84,0,5.01
100,Sao Jose Da Coroa Grande,BR,2023-01-14 01:33:01,-8.8978,-35.1478,78.31,79,28,9.51
